,winnerScore,loserScore,round,ct_tBuyRatio,ctWin,ct_startScore,ct_equipmentValue,ct_mapControl,ct_buy,ct_player_kpr,ct_player_dpr,ct_player_adr,ct_player_kast,ct_player_rating,ct_player_impact,ct_player_utility,t_startScore,t_equipmentValue,t_mapControl,t_buy,t_player_kpr,t_player_dpr,t_player_adr,t_player_kast,t_player_rating,t_player_impact,t_player_utility
48,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.5,0.0,57.5,100.0,1.41,0.1,1.5,1.0,19700.0,1.2640837760619972,0.75,0.0,0.0,50.0,100.0,1.0,0.5,0.0
49,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.5,0.0,57.5,100.0,1.41,0.1,1.5,1.0,19700.0,1.2640837760619972,0.75,0.5,0.0,69.0,100.0,1.44,0.1,0.0
50,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,0.0,0.0,-0.47,0.0,1.3616666666666668,2.0,21200.0,1.203782383836608,1.0,1.0,0.0,77.3,100.0,1.9,1.2,1.7591666666666668
51,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,0.0,0.0,-0.47,0.0,1.3616666666666668,2.0,21200.0,1.203782383836608,1.0,0.3333333333333333,0.3333333333333333,24.3,66.7,0.74,0.06666666666666667,0.3983333333333333
52,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,0.0,0.0,-0.47,0.0,1.3616666666666668,2.0,21200.0,1.203782383836608,1.0,2.0,0.0,157.3,100.0,3.02,1.4000000000000001,0.7091666666666666
53,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,0.0,0.0,-0.47,0.0,1.3616666666666668,2.0,21200.0,1.203782383836608,1.0,0.0,0.0,41.0,100.0,0.96,0.3333333333333333,2.33
54,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,0.0,0.0,-0.47,0.0,1.3616666666666668,2.0,21200.0,1.203782383836608,1.0,1.0,0.3333333333333333,137.0,100.0,1.95,1.5333333333333332,-0.25
55,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,37.3,0.0,-0.35,0.0,-0.25,2.0,21200.0,1.203782383836608,1.0,1.0,0.0,77.3,100.0,1.9,1.2,1.7591666666666668
56,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,37.3,0.0,-0.35,0.0,-0.25,2.0,21200.0,1.203782383836608,1.0,0.3333333333333333,0.3333333333333333,24.3,66.7,0.74,0.06666666666666667,0.3983333333333333
57,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,37.3,0.0,-0.35,0.0,-0.25,2.0,21200.0,1.203782383836608,1.0,2.0,0.0,157.3,100.0,3.02,1.4000000000000001,0.7091666666666666
58,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,37.3,0.0,-0.35,0.0,-0.25,2.0,21200.0,1.203782383836608,1.0,0.0,0.0,41.0,100.0,0.96,0.3333333333333333,2.33
